title,baidu_link,baidu_pwd
商务印书馆汉译世界名著 政治·法律·社会类 118本下载 PDF格式, http://pan.baidu.com/s/1pLOWxE7 ,p3q7
976本6寸PDF格式书籍下载 内附书籍目录,http://pan.baidu.com/s/1bZVYDg ,gqna
《匪我思存作品集（单本分册，共19本）》匪我思存（作者） epub+mobi,https://pan.baidu.com/s/1M-SdHr_Eu_f5I7i6s81R1w ,59l8
《世界悬疑经典小说大全集》下载 epub,http://pan.baidu.com/s/1pL6FB55 ,84rj
网络四大神书完整畅读版（藏地密码全10册+东北往事黑道风云20年全5册+五大贼王全7册+我是个算命先生全4册）（套装共26册） epub,http://pan.baidu.com/s/1o8s45CY ,9m92
《历史的镜像系列套装》（上、下共10本） epub, http://pan.baidu.com/s/1dESy0y1,di92
英文原著一万册下载 MOBI格式,http://pan.baidu.com/s/1kU5RzJT ,3rbc
《硅谷钢铁侠》（英文原版+中文版）下载 mobi,http://pan.baidu.com/s/1dFt2PtZ ,jgjs
《自私的基因》下载 epub,http://pan.baidu.com/s/1miPcFFE ,h6ag
《魔戒》+《霍比特人》下载 epub,http://pan.baidu.com/s/1o8xUn3s ,xxaa
《余秋雨合集》7本 下载 epub,http://pan.baidu.com/s/1mifbyys,nwnn
《心理罪》（全五册）下载 epub,http://pan.baidu.com/s/1pKFSPFt,wcci
《万历十五年》下载 PDF,http://pan.baidu.com/s/1o77NvoI ,ccwd
《教父三部曲》下载 epub,http://pan.baidu.com/s/1jHADtNS ,ng58
《顾漫甜蜜三部曲》（何以笙箫默+微微一笑很倾城+杉杉来吃+短篇：鹊桥相会）下载 epub,http://pan.baidu.com/s/1i45VFCD ,u7se
《藏地密码》（全十册）下载 epub,http://pan.baidu.com/s/1ge8bEvx,8gh2
《南渡北归三部曲》南渡·北归·离别 下载 epub,http://pan.baidu.com/s/1bp7efLH ,852p
《大生意人》套装4册 下载 epub, http://pan.baidu.com/s/1sl3THNJ ,2fnn
《自控力》正版下载 epub,http://pan.baidu.com/s/1eRRG2lG,dvaj
《雪人》下载-【挪威】尤·奈斯博 epub,http://pan.baidu.com/s/1kVyaqWJ ,uis9
《沉默的大多数》下载 epub, http://pan.baidu.com/s/1eSDJ77W ,8cru
《时间简史》下载 epub, http://pan.baidu.com/s/1qYrK4tI,tqjq
《上帝掷骰子吗》下载 epub, http://pan.baidu.com/s/1o7UibFG ,cak7
燕垒生作品集 下载 epub+azw3,http://pan.baidu.com/s/1pLUwnVH ,mrgc
《货币战争》1-5全集下载 epub,http://pan.baidu.com/s/1sl3THV3,r9qw
《乔布斯传》下载 epub,http://pan.baidu.com/s/1eSFL36E,qysg
